question,answer
"问题：“一万年农业，五千年文明，两千年大一统”指的是 选项：(A)中华文明 (B)埃及文明 (C)印度文明 (D)希腊文明
答案：从A到D, 我们应选择",A
"问题：“什尔巴克，这是个你也知道的市镇，它的位置在幼发拉底。那是个古老的市镇，诸神都在那里存身，是他们让诸大神泛起洪水……”以上文字出自 选项：(A)《吉尔伽美什》 (B)《罗摩衍那》 (C)《摩诃婆罗多》 (D)《荷马史诗》
答案：从A到D, 我们应选择",A
"问题：“每一国的人民，一方面要遵守自身特有的法律制度和社会习俗，一方面要遵守全人类共同的法律。……根据自然理性，适用于全人类的法律称为列国通法”。与此理论相关的法律实践是 选项：(A)汉穆拉比颁布了集古代两河流域各国法律之大成的法典 (B)梭伦改革时期颁布了废除债务奴隶的法令 (C)罗马共和国政府公布了“十二铜表法” (D)卡拉卡拉皇帝敕令授予罗马帝国全体自由公民以公民权
答案：从A到D, 我们应选择",D
"问题：在中央集权体制初创的秦朝，选用啬夫的是 选项：(A)太尉 (B)皇帝 (C)郡守、县令 (D)丞相
答案：从A到D, 我们应选择",C
"问题：公元前202年汉朝建立。这一年处在 选项：(A)公元前2世纪初 (B)公元前2世纪末 (C)公元前3世纪初 (D)公元前3世纪末
答案：从A到D, 我们应选择",D
"问题：“井田之变，豪人货殖，馆舍布于州郡，田亩连于方国”描述的是 选项：(A)西周诸侯封地的情况 (B)秦朝实行郡县制后的情况 (C)汉武帝时代的盛况 (D)东汉豪强势力膨胀的情况
答案：从A到D, 我们应选择",D
"问题：为研究三国时代的历史，某同学找来了电脑游戏《三国英杰传》、二十四史中的《三国志》、小说《三国演义》、电视剧《三国》的影碟，其中属于第一手史料的是 选项：(A)《三国志》 (B)《三国演义》 (C)《三国》 (D)《三国英杰传》
答案：从A到D, 我们应选择",A
"问题：以下史实中哪一项反映了唐代的民族交往？ 选项：(A)鲜卑族的拓跋氏改姓元氏 (B)胡床、胡服、胡食传到中原地区，并为汉人所接受 (C)文成公主嫁往吐蕃时带去书籍、耕作用具和蔬菜种子等 (D)中央设宣政院兼管吐蕃事务
答案：从A到D, 我们应选择",C
"问题：“都省握天下之机，十省分天下之治”描述的是哪一朝代的行政管理体制？ 选项：(A)隋朝 (B)唐朝 (C)北宋 (D)元朝
答案：从A到D, 我们应选择",D
"问题：在一张地图上，出现了“欧逻巴”、“亚细亚”、“地中海”、“大西洋”、“尼罗河”等汉字地名，“大地是球形的”这一观念被引入了中国。这张地图的绘制者是 选项：(A)沈括 (B)马可·波罗 (C)利玛窦 (D)徐光启
答案：从A到D, 我们应选择",C
"问题：以下哪项表述是对明代“朝贡贸易”的准确理解？ 选项：(A)朝贡贸易展示了天朝威仪 (B)朝贡国可自由来华贸易 (C)各朝贡国贡期一致 (D)政府在朝贡贸易中获利甚多
答案：从A到D, 我们应选择",A
"问题：一位清朝皇帝曾赋诗言志：“万里扶桑早挂弓，水犀军指岛门空。……海隅久念苍生困，耕凿从今九壤同。”诗中壮志因何事而发？ 选项：(A)抗击沙俄入侵 (B)设置伊犁将军 (C)平定准噶尔叛乱 (D)收复台湾
答案：从A到D, 我们应选择",D
"问题：历史学家斯塔夫里阿诺斯在他的《全球通史》中，将公元1500年作为世界历史的转折点。以下哪一史实可以作为这种历史分期的依据？ 选项：(A)文艺复兴运动的兴起 (B)新航路的开辟 (C)圈地运动的发生 (D)宗教改革的发端
答案：从A到D, 我们应选择",B
"问题：“一个君主的臣民，不得到君主的允许，便不能抛弃君主政体、返回乌合之众的混乱状态，也不能将他们自己的人格从承当者身上转移到另一个人或另一个集体身上。”持以上观点的思想家是 选项：(A)洛克 (B)霍布斯 (C)伏尔泰 (D)孟德斯鸠
答案：从A到D, 我们应选择",B
"问题：人类历史上第一个阐明资产阶级民主共和国原则的政治纲领是 选项：(A)《权利法案》 (B)《王位继承法》 (C)《独立宣言》 (D)《人权宣言》
答案：从A到D, 我们应选择",C
"问题：1868年日本改元“明治”推行新政，新政的首要举措是 选项：(A)展开“修约运动” (B)强化中央政府的权力 (C)实行“殖产兴业”政策 (D)推行教育改革
答案：从A到D, 我们应选择",B
"问题：上海租界在历史上有许多不同的称谓，如“夷场”、“冒险家的乐园”、“文明的窗口”、“外人居留地”等，其中最淡化价值判断的称谓是 选项：(A)夷场 (B)冒险家的乐园 (C)文明的窗口 (D)外人居留地
答案：从A到D, 我们应选择",D
"问题：1860年，曾国藩在作战前线接到“新刻英吉利、法郎西（法国）、米利坚（美国）三国和约条款”，“阅之不觉呜咽”。这些令他“呜咽”的和约条款，与美国相关的部分出自 选项：(A)《南京条约》 (B)《天津条约》 (C)《北京条约》 (D)《辛丑条约》
答案：从A到D, 我们应选择",B
"问题：以下这幅漫画的主旨是“It’s English，you know.”Source：Thomas Nast，*Harper’s Weekly*，June 20，1885瓜分世界“你知道，这是英国人的。” 选项：(A)英国的殖民霸权受到俄德的挑战 (B)英德俄结盟重新瓜分世界 (C)英国默认俄德在亚非争夺殖民地 (D)英国调停俄德的殖民争端
答案：从A到D, 我们应选择",A
"问题：在19世纪末的西欧，一个资本家要新建纺织厂，为提高产量，他应该优先选址在 选项：(A)商业繁盛的地区 (B)盛产煤炭的地区 (C)邻近河流的地区 (D)电力充足的地区
答案：从A到D, 我们应选择",D
"问题：有史家在评价商鞅立木为信的史事时写道：“夫信者，人君之大宝也。国保于民，民保于信，非信无以使民，非民无以守国。”该史家关切的是 选项：(A)“善恶必书”的秉笔直书精神 (B)鉴前世之兴衰，考当今之得失 (C)为全体国民写史，写全体国民的历史 (D)史家当具史才、史学、史识、史德
答案：从A到D, 我们应选择",B
"问题：在清末的学堂里，学生经常聚看、传阅不同政见的书报，其中“余维欧美之进化，凡以三大主义：曰民族、曰民权、曰民生”；“变法之本，在于育人才；人才之兴，在开学校”应该分别出自 选项：(A)《民报》、《时务报》 (B)《民报》、《天演论》 (C)《天演论》、《时务报》 (D)《海国图志》、《天演论》
答案：从A到D, 我们应选择",A
"问题：右侧是哪一人物的生平年表？1818年——生于特里尔1842年——担任《莱茵报》主编1848年——发表《共产党宣言》1864年——建立第一国际1867年——出版《资本论》第一卷1883年——逝世 选项：(A)俾斯麦 (B)马克思 (C)圣西门 (D)列宁
答案：从A到D, 我们应选择",B
"问题：南京某大礼堂，门外有“和平永奠”的牌楼，又有胜利屏一幅，上缀大红“V”字。门内下面悬挂中美英苏四国的大幅国旗。这一场景应出现在 选项：(A)南京国民政府成立时 (B)日本无条件投降后 (C)改订新约运动中 (D)渡江战役胜利后
答案：从A到D, 我们应选择",B
"问题：“中华人民共和国为新民主主义即人民民主主义的国家，实行工人阶级领导的，以工农联盟为基础的、团结各民主阶级和国内各民族的人民民主专政。”这段话出自 选项：(A)《中华民国临时约法》 (B)《论联合政府》 (C)《共同纲领》 (D)《上海公报》
答案：从A到D, 我们应选择",C
"问题：“亚非绝大多数国家和人民自近代以来都曾经受过、并且现在仍在受着殖民主义所造成的灾难和痛苦。……从解除殖民主义痛苦和灾难中找共同基础，我们就很容易互相了解和尊重，互相同情和支持……”这段话的主旨是 选项：(A)反对美苏争霸 (B)开展全方位外交 (C)倡导求同存异 (D)重组大国关系
答案：从A到D, 我们应选择",C
"问题：人们在历史研究中，由于立场和观点的差异，对历史事件的解释往往会有不同，如关于哥伦布航行到达美洲这一事件：过去，欧洲人总以欧洲为中心来理解：美洲土著则立足自身看问题：在当今全球史观的引导下，人们又有了新的认识。能正确反映上述说法的排列是： 选项：(A)欧洲/发现，美洲/文明相遇，全球史观/侵犯 (B)欧洲/文明相遇，美洲/发现，全球史观/侵犯 (C)欧洲/侵犯，美洲/发现，全球史观/文明相遇 (D)欧洲/发现，美洲/侵犯，全球史观/文明相遇
答案：从A到D, 我们应选择",D
"问题：在中国古代，“易于耕种的纤细黄土，能带来丰沛雨量的季候风，和时而润泽大地、时而泛滥成灾的黄河，是影响中国命运的三大因素。它们直接或间接地促使中国要采取中央集权式的官僚体系。”维系这种中央集权的经济基础是 选项：(A)小农经济 (B)佃农经济 (C)庄园经济 (D)商品经济
答案：从A到D, 我们应选择",A
"问题：蔡元培在《中国伦理学史》中之所以赞扬古代一位思想家“提倡民权，为孔子所未及焉”，是由于他明确提出“民为贵，社稷次之，君为轻”的思想。这位思想家是 选项：(A)孙子 (B)孟子 (C)董仲舒 (D)朱熹
答案：从A到D, 我们应选择",B
"问题：早在先秦时期，中国文化的地域性差异已十分明显。就文学而论，北方注重说理，南方倾向抒情。比如大量运用神话材料，描绘神奇瑰丽境界，给人强烈审美愉悦的诗人屈原就生活于 选项：(A)中原 (B)齐鲁 (C)楚地 (D)巴蜀
答案：从A到D, 我们应选择",C
"问题：柳宗元在《封建论》中说：“秦有天下，裂都会而为之群邑，废侯卫而为守宰。?……此其所以为得也。”这句话指的是 选项：(A)推行分封制 (B)设立郡县制 (C)废除郡县制 (D)废除行省制
答案：从A到D, 我们应选择",B
"问题：司马迁在《报任安书》中说：“网罗天下放失旧闻，考之行事，稽其成败之理，凡百三十篇。”这“百三十篇”就是后来的 选项：(A)《诗经》 (B)《春秋》 (C)《史记》 (D)《资治通鉴》
答案：从A到D, 我们应选择",C
"问题：在19世纪上半期，欧洲流行着这样的说法：“史蒂姆（Steam，即蒸汽机）是英国人。”对这句话的准确理解是①当时使用蒸汽机的都是英国人②以蒸汽为动力的机器都是英国发明的③当时的英国已广泛使用蒸汽机④蒸汽机的出现是英国工业革命的象征 选项：(A)①② (B)①③ (C)②④ (D)③④
答案：从A到D, 我们应选择",D
"问题：叶圣陶在一则日记中写到：“课毕后阅报纸，见专电栏中有云：武昌已为革（命）党所据，新军亦起而相应……从此而万恶之政府即以推倒，亦未可知也。”日记中的“万恶之政府”指 选项：(A)清政府 (B)南京临时政府 (C)北洋政府 (D)南京国民政府
答案：从A到D, 我们应选择",A
"问题：一位美国记者赞叹道：每一场革命都有它自身的传奇，毛泽东率领数万工农红军所完成的战略转移，就是中国革命史上的伟大传奇。他所说的“伟大传奇”是指 选项：(A)秋收起义 (B)井冈山会师 (C)第五次反围剿 (D)长征
答案：从A到D, 我们应选择",D
"问题：1950年除夕，上海《新民报》报道：“毛主席和和斯大林元帅给我们带来了过年礼物，教我们全国人民在大年夜欢欢喜喜高高兴兴过个年。”文中的“礼物”指的是 选项：(A)苏共将派代表到西柏坡 (B)签定《中苏友好同盟互助条约》 (C)苏联支持中国抗美援朝 (D)苏联援助中国实施“一五”计划
答案：从A到D, 我们应选择",B
"问题：1989年11月柏林墙开放后不久，民主德国边防兵把一个小孩抱到墙上，让他看一眼西柏林市景。此景反映 选项：(A)两极格局形成 (B)两个德国出现 (C)两德统一在望 (D)美苏冷战结束
答案：从A到D, 我们应选择",C
"问题：新石器时代，人类迎来了第一场重大的经济革命，其标志是 选项：(A)农耕逐渐取代采集 (B)采集逐渐取代狩猎 (C)狩猎逐渐取代驯养 (D)渔猎逐渐取代采集
答案：从A到D, 我们应选择",A
"问题：文学是西方文化的载体，其源头可追溯到古代世界，其中对西方文化产生重要影响的是 选项：(A)《大藏经》、《荷马史诗》 (B)《旧约全书》、《古兰经》 (C)《荷马史诗》、《旧约全书》 (D)《古兰经》、《荷马史诗》
答案：从A到D, 我们应选择",C
"问题：汉代以来，某地出土了数以千计的青铜重器，青铜铭文多涉及诸侯战争、土地交换等内容。学者推断此地应是 选项：(A)夏人的活动地域 (B)周朝的重要都城 (C)秦朝的阿房宫遗址 (D)汉初同姓王的封国
答案：从A到D, 我们应选择",B
"问题：春秋战国时代，诸子百家讲政治时大多站在民众一边，替百姓打算，唯有一家与其他各家不同，为君主参谋，专替君主打算。这一家是 选项：(A)儒家 (B)法家 (C)道家 (D)墨家
答案：从A到D, 我们应选择",B
"问题：西欧中世纪庄园和东汉后期庄园的共同特点是 选项：(A)主人和农民之间有雇佣关系 (B)具有商品货币关系 (C)有自营地和份地的区别 (D)自给自足的经济体
答案：从A到D, 我们应选择",D
"问题：某统治者拥有征税权，可以组织军队，常常援引“凡使君主高兴的就具有法律效力”的古谚。这位统治者是 选项：(A)军事强人 (B)专制君主 (C)等级君主 (D)立宪君主
答案：从A到D, 我们应选择",B
"问题：宋代，儒学家开始从一个新的角度来思考人间的伦理纲常。这个新的角度是 选项：(A)从矛盾对立转换出发 (B)从天人感应出发 (C)从万物本源出发 (D)从人的本性出发
答案：从A到D, 我们应选择",C
"问题：元朝为加强中央对西藏和台湾的管理，分别设置了 选项：(A)中书省、伊犁将军 (B)宣政院、中书省 (C)伊犁将军、澎湖巡检司 (D)宣政院、澎湖巡检司
答案：从A到D, 我们应选择",D
"问题：伏尔泰在《风俗论》一书中对中华文化和儒家学说推崇备至。他所获得的中国文化资料最有可能来自于 选项：(A)外国使节 (B)传教士 (C)阿拉伯人 (D)留学生
答案：从A到D, 我们应选择",B
"问题：年号是常用的纪年方式。它可以用来指称皇帝，如雍正皇帝；也可以用来表示历史事件，如贞观之治。下列选项符合后一种用法的是 选项：(A)辛亥革命 (B)商鞅变法 (C)靖康之变 (D)光武中兴
答案：从A到D, 我们应选择",C
"问题：历史上大凡激烈变革和动荡的时代，总不免出现两种倾向：一种是要砸烂一切旧传统的革命倾向，一种是要维护旧传统的保守倾向。中国历史上符合这种现象的时期有①公元前8世纪到公元前3世纪     ②7世纪初期       ③20世纪初期 选项：(A)①②③ (B)②③ (C)①② (D)①③
答案：从A到D, 我们应选择",D
"问题：“……就是人类脱离自己所加之于其自身的不成熟状态”，“不成熟状态就是不被别人引导，就对运用自己的理智无能为力”，“要有勇气运用自己的理智！”以上省略的内容应是 选项：(A)宗教改革 (B)文艺复兴 (C)启蒙 (D)空想社会主义
答案：从A到D, 我们应选择",C
"问题：基于“大凡国之强弱系于人民之贫富，人民之贫富系于财产之多寡”的认识，明治政府开始 选项：(A)实行地税改革 (B)开化社会文明 (C)引进欧美科技 (D)鼓励工商贸易
答案：从A到D, 我们应选择",D
"问题：乾隆皇帝曾对法国产生浓厚兴趣，打算派外交使团会见路易十六。这一计划最终付诸东流，原因可能是 选项：(A)法国爆发了大革命 (B)清廷忙于抗击沙俄入侵 (C)中国正在和英使签订两国通商协议 (D)普法战争爆发
答案：从A到D, 我们应选择",A
"问题：有学者认为，电视台“名家讲座”虽然办得好，但内容过于偏重帝王将相的活动和宫廷琐事。离一百多年前梁启超倡导的“新史学”宗旨相去甚远。这里所说的“新史学”宗旨是 选项：(A)充当帝王的“政治教科书” (B)让国民从中受益 (C)复兴传统史学 (D)宣传历史进化论
答案：从A到D, 我们应选择",B
"问题：“前年杀吴禄贞，去年杀张振武，今年又杀宋教仁，你说是应桂馨，他说是洪述祖，我说确是袁世凯。”这幅挽联中提及的事件最终引发了 选项：(A)护国运动 (B)武昌起义 (C)五四运动 (D)二次革命
答案：从A到D, 我们应选择",D
"问题：某学生要以“近代以来的西学东渐及其影响”为主题撰写小论文，他可以选择的研究对象有 选项：(A)商务印书馆、利玛窦 (B)《几何原本》、冯如 (C)商务印书馆、冯如 (D)同文馆、利玛窦
答案：从A到D, 我们应选择",C
"问题：“英国不想为捷克牺牲一兵一卒，英国同意任何合理的解决办法，只要不用武力。”下列哪一事件体现了这一主张？ 选项：(A)《慕尼黑协定》的签署 (B)《凡尔赛和约》的签订 (C)《四国条约》的签订 (D)《大西洋宪章》的发布
答案：从A到D, 我们应选择",A
"问题：学习历史可以用想象的方法来“重建”历史场景。假如你生活在1913年的中国，可能会看到以下哪一情形？ 选项：(A)唐胥铁路开通 (B)街上路人互行脱帽鞠躬礼 (C)《申报》上刊登北伐的消息 (D)李大钊发表《庶民的胜利》的演说
答案：从A到D, 我们应选择",B
"问题：1945年英国工党上台执政后，大力推行社会福利等政策，目的是为了 选项：(A)强化自由放任主义 (B)加强政府对经济的干预 (C)减轻政府财政负担 (D)改变资本主义性质
答案：从A到D, 我们应选择",B
"问题：20世纪50年代初，中国面临的困难是“能造桌子椅子，能造茶碗茶壶，能种粮食，还能磨成面粉，还能造纸，但是，一辆汽车、一架飞机、一辆坦克、一辆拖拉机都不能造”。为改变这一状况，中国政府 选项：(A)推行了土地改革 (B)组织了人民公社 (C)实施了“一五”计划 (D)发动了“大跃进”
答案：从A到D, 我们应选择",C
"问题：毛泽东思想被确立为中国共产党的指导思想是在 选项：(A)中共七大 (B)遵义会议 (C)中共十一届三中全会 (D)中共十二大
答案：从A到D, 我们应选择",A
"问题：1978年真理标准问题的大讨论，直接推动了中国社会全面的 选项：(A)体制改革 (B)拨乱反正 (C)经济建设 (D)对外开放
答案：从A到D, 我们应选择",B
"问题：一个历史事实可以有若干事件构成，事件又可以由若干小事件构成，由此可以排出一系列事件的等级或层次，下列选项符合上述说法的是 选项：(A)经济全球化——西欧一体化——欧元启用 (B)《王位继承法》——《权利法案》——光荣革命 (C)苏联的现代化道路——新经济政策——社会主义工业化 (D)中途岛战役——斯大林格勒战役——阿拉曼战役
答案：从A到D, 我们应选择",A
"问题：1949年后，中国积极主动的融入世界。将下列重大外交事件按时间排列，正确的是    ①重返联合国     ②中美关系正常化      ③参加万隆会议    ④加入世界贸易组织 选项：(A)③①②④ (B)③②①④ (C)①②③④ (D)②①③
答案：从A到D, 我们应选择",A
"问题：学者考证，历史上的商族屡屡迁徙，最后一次迁徙后，定都二百多年，创造了辉煌的文明成果。这次迁徙的组织者是 选项：(A)商汤                  (B)武丁 (C)盘庚                  (D)商纣
答案：从A到D, 我们应选择",C
"问题：商鞅变法功不可没，但他本人却被贵族诬告谋反，惨遭杀害。在商鞅变法的措施中，直接损害贵族利益的是 选项：(A)重农抑商              (B)统一度量衡 (C)迁都咸阳              (D)按军功授爵
答案：从A到D, 我们应选择",D
"问题：一位历史研究者想要编写《昭君出塞》一书，涉及长安民众生活的情景，他可以利用的素材是 选项：(A)吃葡萄、喝肉羹       (B)盖棉被、穿绸衣 (C)放鞭炮、听说书         (D)抽卷烟、烤甘薯
答案：从A到D, 我们应选择",A
"问题：隋王朝国祚短促，但在制度建设上却多有建树，既有继承发展，又有开拓创新。其中，由隋开创并为唐所继承的制度有 选项：(A)府兵制、三省六部制       (B)府兵制、科举制 (C)三省六部制、科举制       (D)科举制、均田制
答案：从A到D, 我们应选择",C
"问题：慈禧曾说：“我本来执定不同洋人破脸的，中间一段时期，因洋人欺负太甚了，也不免有些动气。虽是没拦阻他们，始终总没叫他们十分尽意的胡闹。……我若由他们尽意的闹，难道一个使馆有攻不下来的道理？”慈禧据称的“他们”是指 选项：(A)顽固派            (B)洋务派 (C)太平军            (D)义和团
答案：从A到D, 我们应选择",D
"问题：“新礼服兴，翎顶补服灭；剪发兴，辫子灭；爱国帽兴，瓜皮帽灭；天足兴，纤足灭；阳历兴，阴历灭；鞠躬礼兴，跪拜礼灭……”这首民谣反映了某个重大历史事件引起的社会风貌的变化。这一事件是 选项：(A)戊戌变法             (B)洋务运动 (C)辛亥革命             (D)护法运动
答案：从A到D, 我们应选择",C
"问题：针对党内“红旗到底打得多久”的疑问，毛泽东撰写《中国的红色政权为什么能够存在》等著述，作出了肯定的回答。毛泽东所说的红色政权，最先建立的是 选项：(A)中央革命根据地          (B)井冈山革命根据地 (C)川陕革命根据地          (D)川陕甘革命根据地
答案：从A到D, 我们应选择",B
"问题：有网友看了左侧这幅政治漫画后，表达了不同的看法，其中符合史实的是 选项：(A)英法设计，美国造桥 (B)美国设计，英国造桥 (C)国会设计，总统造桥 (D)总统设计，国会造桥
答案：从A到D, 我们应选择",B
"问题：被历史学家称为法国无产阶级在“19世纪的最后一次革命，19世纪法国革命史诗的顶点和终点”的是 选项：(A)巴黎公社革命           (B)二月革命 (C)里昂工人起义           (D)六月起义
答案：从A到D, 我们应选择",A
"问题：1918年，德国历史学家斯宾格勒在目睹当时的状况后，出版了《西方的没落》这本名著。就当时的历史而言，这个“西方”是指 选项：(A)美洲          (B)欧洲 (C)德国          (D)英国
答案：从A到D, 我们应选择",B
"问题：艾森豪威尔总统曾回忆，他熬过三年战争岁月靠的是每晚睡四个小时，每天喝20杯咖啡，吸四包骆驼牌香烟，偶尔加一个三明治。那场战争是指 选项：(A)第一次世界大战        (B)独立战争 (C)第二次世界大战        (D)南北战争
答案：从A到D, 我们应选择",C
"问题：这张摄于1993年的照片震惊了世界，它向世人揭示了非洲依然存在的状况。自20世纪60年代以来，第三世界一直在为改变这种状况而努力，这种努力是 选项：(A)争取建立国际经济新秩序 (B)倡导和平共处的万隆精神 (C)实行不结盟的外交政策 (D)建立多极化的世界格局
答案：从A到D, 我们应选择",A
"问题：一项考古统计表明，我国新石器时代稻谷遗存120余处，其中长江流域90余处，黄河流域12处，另有闽、浙、台数处。炭化粟粒、粟壳遗存40余处，分布于山东、河北、浙江、新疆等省区。据此可以推断①我国已由采集进入种植的时代   ②我国的原始农业南北各具特色③南北之间粮食品种已有交流      ④我国北方种植粮食早于南方 选项：(A)①③                     (B)①②③ (C)②④                       (D)①②④
答案：从A到D, 我们应选择",B
"问题：当代历史学家开始关注“忧愤”这一情感因素对于历史发展进程的影响。如果你要选择“忧愤之死”这一主题进行研究，合适的人物是 选项：(A)邓世昌                    (B)林肯 (C)拿破仑                    (D)屈原
答案：从A到D, 我们应选择",D
"问题：2007年2月，印度天竺那烂陀举行玄奘纪念堂落成典礼，中印两国领导人应邀出席。印度举行这一盛大庆典是因为 选项：(A)玄奘长期生活于天竺那烂陀                     (B)天竺那烂陀是佛教的诞生地 (C)唐代高僧玄奘曾去该地取经                     (D)玄奘促进了中印文化的交流
答案：从A到D, 我们应选择",D
"问题：下面是份售书广告，①共产党宣言②庶民的胜利③列国陆军制④儒门医学⑤汽机新制。其中有可能在洋务运动中成为畅销书的是()  选项：(A)①⑤ (B)②④ (C)③⑤ (D)①③
答案：从A到D, 我们应选择",C
"问题：《马关条约》中规定：“日本臣民得在中国制造一切货物，其于内地运送税、内地税、钞课、杂派……即照日本臣民运入中国之货物一体办理，自应享优例豁除。”从中可以看出导致中国近代以来民族工业举步维艰的一个因素是 选项：(A)外资工业在中国的兴起                 (B)民族工业没有技术优势 (C)民族工业没有资本优势                 (C)外资工业享有免税特权
答案：从A到D, 我们应选择",D
"问题：20世纪初期，中国曾“以俄为师”。这里的“俄”通常是指①沙俄   ②苏俄   ③苏联   ④独联体   ⑤俄罗斯 选项：(A)①②                         (B)②⑤ (C)②③                         (D)③④
答案：从A到D, 我们应选择",C
"问题：1940年12月30日，中国共产党创建的第一个广播电台——延安新华广播电台第一次正式播音。当天可能播出的新闻是 选项：(A)百团大战的最新战况           (B)法西斯德国无条件投降 (C)人民解放军占领南京           (C)日本偷袭美国的珍珠港
答案：从A到D, 我们应选择",A
"问题：1956年1月2日下午，上海50万人冒雨集会，副市长兴奋地宣告：“我国资本主义最集中的城市，开始进入社会主义社会了！这一伟大胜利是我们人民的胜利。”他如此激动是因为上海完成了 选项：(A)工商业改造                       (B)统购统销 (C)“一五”计划                     (D)土地改革
答案：从A到D, 我们应选择",A
"问题：随着历史的变迁，许多概念的内涵发生了变化。例如“革命”，最早界定为改朝换代，近代以来则多指政治体制变革。下列选项对应上述概念内涵的是 选项：(A)汤武革命/“光荣革命”           (B)“光荣革命”/工业革命 (C)汤武革命/“文化大革命”        (D)工业革命/“文化大革命”
答案：从A到D, 我们应选择",A
"问题：“《百科全书》的读者群并不是由资本家够成的，而是1789年中瓦解得最快的各个部门。他们来自于高等法院和大法官裁判所，来自波旁王朝的官僚机构、军队和教会。一种进步的意识形态竟然渗透了社会结构中最为陈旧和锈蚀的部分，这看起来似乎有些荒谬，但大革命正是从悖论中开始的。”这段话表明，作者认为法国大革命爆发的原因是 选项：(A)人民攻占巴士底狱                (C)特权阶级的自我崩溃 (C)资产阶级要求革命                (D)国王召开了三级会议
答案：从A到D, 我们应选择",B
"问题：1874年，日本人将“Science”翻译成为“科学”，后于1915年引入中国。与这一概念传播相关的事件是 选项：(A)洋务运动/明治维新         (B)明治维新/新文化运动 (C)洋务运动/戊戌变法         (D)戊戌变法/新文化运动
答案：从A到D, 我们应选择",B
"问题：“封建亲戚，以藩屏周。”这句话指的是 选项：(A)分封制 (B)井田制 (C)郡县制 (D)行省制
答案：从A到D, 我们应选择",A
"问题：战国时期有人提出：“明主之国，无书简之文，以法为教；无先王之语，以吏为师。”这句话反映的是 选项：(A)儒家的思想 (B)道家的思想 (C)墨家的思想 (D)法家的思想
答案：从A到D, 我们应选择",D
"问题：有一部断代体史书，首创“志”的体裁，经两代人合作完成。这部书是 选项：(A)《史记》 (B)《三国志》 (C)《汉书》 (D)《资治通鉴》
答案：从A到D, 我们应选择",C
"问题：东汉时期“豪强”的基本特征是 选项：(A)拥兵自重称霸一方 (B)依靠巧取豪夺聚敛财富 (C)通过科举获得功名 (D)世代享有政治经济特权
答案：从A到D, 我们应选择",D
"问题：均田制是中国古代重要的土地制度，推行该制度的朝代有    ①西周    			②北魏    			③唐朝   			④明朝 选项：(A)①② (B)②③ (C)①④ (D)③④
答案：从A到D, 我们应选择",B
"问题：“渔阳鼙鼓动地来，惊破霓裳羽衣曲……马嵬坡下泥土中，不见玉颜空死处。”这几句诗所反映的历史事件是 选项：(A)七国之乱 (B)八王之乱 (C)安史之乱 (D)三藩之乱
答案：从A到D, 我们应选择",C
"问题：中国历史上推行重文轻武、大将不得据地拥兵政策的朝代是 选项：(A)西汉 (B)隋朝 (C)宋朝 (D)清朝
答案：从A到D, 我们应选择",C
"问题：中国古代有许多重大发明，下列发明按出现的先后顺序排列正确的是 选项：(A)司南、纸、火药、活字印刷 (B)纸、火药、活字印刷、司南 (C)火药、活字印刷、司南、纸 (D)活字印刷、司南、纸、火药
答案：从A到D, 我们应选择",A
"问题：“月亮既不会掉下来，也不会离去，那是因为它的运动正好抵消了地球的引力。”说这句话的科学家是 选项：(A)牛顿 (B)波义耳 (C)拉瓦锡 (D)哥白尼
答案：从A到D, 我们应选择",A
"问题：以下农民运动受基督教影响的是 选项：(A)秦末农民起义 (B)明末农民起义 (C)太平天国运动 (D)义和团运动
答案：从A到D, 我们应选择",C
"问题：有首上海的旧民谣，讲述了清朝260多年的大事，其中与戊戌政变有关的句子是 选项：(A)吴三桂要去借清兵，顺治帝登基享现成 (B)林则徐严禁吸洋烟，忠心报国无人识 (C)曾国藩团练起湘乡，淮军还有李鸿章 (D)好头颅六个凭空送，菜市街夜夜叫冤魂
答案：从A到D, 我们应选择",D
"问题：最近，中共一大会址纪念馆为增补共产国际代表尼科尔斯基的照片费尽周折。假设寻找时发现了下列原始材料，能佐证他出席中共一大的是 选项：(A)1921年10月开往上海的船票 (B)1919年签发的苏联护照 (C)1921年7月初和马林在上海的合影 (D)1925年向共产国际汇报五卅运动情况的俄文原稿
答案：从A到D, 我们应选择",C
"问题：第二次世界大战后出现的南南合作和南北对话分别指 选项：    A．发展中国家间合作/发达国家间对话     B．发达国家间合作/发展中国家间对话     C．发达国家与发展中国家合作/发展中国家间对话     D．发展中国家间合作／发展中国家与发达国家的对话
答案：从A到D, 我们应选择",D
"问题：旧石器时代用作工具的石块与天然石块的主要区别在于 选项：(A)更加经久耐用 (B)有人为加工痕迹 (C)靠近考古遗址 (D)更加圆润细腻
答案：从A到D, 我们应选择",B
"问题：四位学生在看完一场战争片后展开议论    。    甲说：我反对战争，发动战争的人应该受重罚    乙说：我也反对战争，销毁一切杀人武器才是最要紧的    丙说：我想最关键的是要消除战争根源    丁说：我认为战争是国家生死存亡的大事，不要轻言战争    以上与孙武观点相吻合的是 选项：(A)甲 (B)乙 (C)丙 (D)丁
答案：从A到D, 我们应选择",D
